curr_codes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CRC,,,,,,178.6281,207.05236,232.1873,256.56919,284.45707,306.90858,324.76479,346.93775,387.96986,428.15443,473.48007,495.00687,503.19236,515.78133,561.30263,512.68466,499.57511,494.44812,490.78463,490.31108,,,,,
CUC,,,,,1,1,1,1,1,1,1,1,1,1,1,0.946,0.9259,0.9259,0.9259,0.9259,0.9259,0.98092,1,1,1,,,,,
CUP,,,,,,1,3.30055,20.93425,23,11.96986,1,1,2.03408,4.23875,21,21,21.97106,22.2222,22.2222,22.2222,22.2222,22.2222,22.2222,22.2222,22.2222,,,,,
CVE,,,,,,73.91,73.91,89.12794,99.12713,103.26356,119.22048,119.10093,115.76507,105.63285,98.17506,85.0633,84.14211,78.53456,74.15008,79.17074,80.68047,78.35539,84.88648,81.94585,80.69169,,,,,
CZK,,,,,,26.38554,27.12347,31.71378,32.23272,34.60057,38.60449,38.08784,32.61844,28.16928,25.65669,23.91699,22.5497,20.26034,17.03345,18.99607,19.06704,17.65679,19.54607,19.53263,20.10132,,,,,
DJF,,,,170,172.59041,171.73973,160,161.63836,168.74899,172.03373,172.33343,169.49225,162.22679,169.67712,169.05522,166.29217,166.70233,170.82957,172.99007,172.47084,172.55828,174.69574,177.36946,175.89333,177.31154,,,,,
DKK,6.18492,6.39808,6.03426,6.4822,6.35543,5.60223,5.79763,6.60152,6.69871,6.97986,8.08452,8.32026,7.88133,6.57602,5.98774,5.99317,5.94257,5.44292,5.09343,5.35405,5.62064,5.35516,5.79129,5.61678,5.46455,,,,,
DOP,,,,,,13.74702,13.80184,14.16085,15.19178,15.88795,15.86275,15.98198,16.80436,28.20475,39.44657,29.02967,32.16618,32.34066,33.97742,35.44135,36.3028,37.53918,38.66193,41.15638,42.22549,,,,,
DZD,,,,23.93656,24.24251,28.40345,54.72685,57.70069,58.70674,66.49378,72.20054,73.99751,76.48649,74.59177,69.27486,71.16329,70.53928,68.81288,63.33686,70.90402,72.32776,72.43428,77.13466,79.08402,77.99325,,,,,
EEK,,,,,,11.40986,11.89244,13.86285,14.07334,14.68626,17.0037,17.45999,16.58715,13.84181,12.58776,12.58118,12.44635,11.41613,10.67088,11.21622,11.76987,11.66313,11.71072,11.713,11.713,,,,,
EGP,,,,3.36237,3.38133,3.39917,3.3949,3.39129,3.40655,3.41281,3.53142,4.0388,4.59934,5.8322,6.16236,5.75482,5.65973,5.56729,5.38819,5.50708,5.58726,5.91569,6.03247,6.83594,6.93696,,,,,
ERN,,,,,,,,,,,,,,,,15,15,15,15,15,15,15,15,15,15,,,,,
ETB,,,,4.93,5.223,5.71537,5.83867,6.50032,6.9759,7.8128,8.08001,8.20795,8.06766,8.18572,8.34239,8.54286,8.4219,8.75942,9.47715,11.53385,14.24737,16.79757,17.58435,18.52079,18.92578,,,,,
EUR,0.788742,0.811868,0.769998,0.844983,0.833602,0.751091,0.775139,0.885013,0.85355,0.93872,1.08435,1.11631,1.06062,0.88506,0.80485,0.80429,0.79678,0.73061,0.68321,0.71895,0.75464,0.71876,0.77806,0.75316,0.73238,0.901896,0.90389,0.887036,0.847582,0.884684
FJD,,,,,,1.42044,1.39996,1.43756,1.95747,1.96596,2.11705,2.26572,2.18941,1.88742,1.73386,1.68541,1.72098,1.60084,1.58446,1.93975,1.90587,1.78314,1.77926,1.82089,1.87005,,,,,
FKP,,,,,,0.62473,0.64183,0.61212,0.60244,0.61699,0.65834,0.69329,0.48807,0.44238,0.5885,0.5885,0.57131,0.49977,0.5448,0.64101,0.64738,0.62355,0.63102,0.63961,0.60751,,,,,
GBP,0.56308,0.56724,0.56957,0.6659,0.65325,0.63345,0.6407,0.61026,0.60338,0.61825,0.66048,0.694,0.66615,0.61204,0.5459,0.5499,0.54339,0.49974,0.54472,0.64092,0.64731,0.62353,0.631,0.63953,0.60743,0.654335,0.740907,0.776965,0.749947,0.769435
GEL,,,,,,,,,,,,,,,,,1.9541,1.765,1.65044,1.66998,1.7826,1.68604,1.65126,1.66342,1.74125,,,,,
GHS,,,,,,,,,,,,,,,,,,0.92975,1.0652,1.41389,1.41664,1.53181,1.83726,2.05081,2.34648,,,,,
GIP,,,,,,0.62456,0.64445,0.60916,0.6037,0.61707,0.65834,0.69329,0.6649,0.62028,0.54671,0.54632,0.55949,0.49977,0.5448,0.64101,0.64738,0.62355,0.63102,0.63961,0.60751,,,,,
